OMP_PLACES=sockets
OMP_PROC_BIND=close
threads,time_init,time_run
1,0.845752,721.623521
2,0.824389,367.726190
3,0.805441,247.740599
4,0.810349,182.987927
5,0.809374,148.181662
6,0.906255,123.175590
7,0.824219,105.435172
8,0.815023,91.967905
9,0.806030,81.271116
10,0.805135,73.068954
11,0.813267,66.540048
12,0.807902,61.077908
13,0.811156,56.504323
14,0.812687,52.285937
15,0.809012,49.402030
16,0.811960,46.261521
17,0.808723,43.282163
18,0.810544,40.662736
19,0.810523,38.531980
20,0.810962,37.413559
21,0.880342,34.864017
22,0.804354,33.344277
23,0.836560,31.843619
24,0.810805,30.877295
25,0.809535,29.299586
26,0.798134,28.186545
27,0.814572,27.163681
28,0.810649,26.165105
29,0.808803,25.274302
30,0.804597,24.426068
31,0.805903,23.636470
32,0.808135,22.886378
33,0.809435,22.234850
34,0.806088,21.563633
35,0.805044,20.955976
36,0.802415,20.383454
37,0.832441,19.896991
38,0.801977,19.299458
39,0.802139,18.806755
40,0.819511,18.346760
41,0.814801,17.883559
42,0.806113,17.472328
43,0.804941,17.141117
44,0.810045,16.702948
45,0.809152,16.302459
46,0.885318,15.980350
47,0.807693,15.920920
48,0.809737,15.293022
49,0.808313,14.986152
50,0.867456,14.759387
51,0.811546,14.657734
52,0.806195,14.179843
53,0.829535,13.885530
54,0.807916,13.649083
55,0.812178,13.531936
56,0.810429,13.296423
57,0.806544,13.227327
58,0.821582,12.835928
59,0.809552,12.501037
60,0.807396,12.357964
61,0.806093,12.331957
62,0.809424,13.258510
63,0.831795,12.004696
64,0.809314,12.739123
