export OMP_PLACES=sockets
export OMP_PROC_BIND=close
export OMP_NUM_THREADS=64
k,processes,time_init,time_run
5000,1,0.380909,5.767045
5000,2,0.214567,2.816986
5000,3,0.155547,6.748594
5000,4,0.126496,5.603379
5000,5,0.116273,7.099163
5000,6,0.099234,6.507904
10000,1,1.511506,25.912751
10000,2,0.800411,14.752155
10000,3,0.574336,19.960097
10000,4,0.442505,15.741601
10000,5,0.378586,18.352791
10000,6,0.355820,15.837777
15000,1,3.502674,60.100870
15000,2,1.758533,31.921107
15000,3,1.219383,42.531592
15000,4,0.953099,32.609540
15000,5,0.825808,37.387008
15000,6,0.707161,31.824042
20000,1,6.016878,101.063394
20000,2,3.259741,54.230182
20000,3,2.244862,72.607552
20000,4,1.730357,55.757602
20000,5,1.438965,63.017116
20000,6,1.254130,53.273235
